Host,Provider,IP (External),IP (Internal),Open Ports,HTTP Status,HTTP Title,Risk Rating,Findings,Technologies,WAF,DNS Records
akamai-apigateway-stg-deliveryopsvitu.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-deliveryopsvitu.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-deliveryopsvitu.tesla.com.edgekey.net"
akamai-apigateway-stg-einvoicing.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://www.tesla.com/,,N/A,,,,"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-einvoicing.tesla.com.edgekey.net"
akamai-apigateway-stg-finplateng-defi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-finplateng-defi.tesla.com.edgekey.net"
akamai-apigateway-stg-finplateng-routeone.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-finplateng-routeone.tesla.com.edgekey.net"
akamai-apigateway-stg-finplateng.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-finplateng.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-finplateng.tesla.com.edgekey.net"
akamai-apigateway-stg-finplatengg.tesla.com,cdn-akamai,,,,0,,N/A,,,,CNAME:akamai-apigateway-stg-finplatengg.tesla.com.edgekey.net
akamai-apigateway-stg-fta.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-fta.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-fta.tesla.com.edgekey.net"
akamai-apigateway-stg-inventorytxnextapi.tesla.com,cdn-akamai,"104.80.228.227, 173.223.116.49, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-inventorytxnextapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-inventorytxnextapi.tesla.com.edgekey.net"
akamai-apigateway-stg-materials.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-materials.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-materials.tesla.com.edgekey.net"
akamai-apigateway-stg-ops-warp3pl.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-ops-warp3pl.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-ops-warp3pl.tesla.com.edgekey.net"
akamai-apigateway-stg-packaging2.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-packaging2.tesla.com/,,N/A,,envoy,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-packaging2.tesla.com.edgekey.net"
akamai-apigateway-stg-payment.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:c900:3a7::700, 2a02:26f0:c900:3b6::700",,"80, 443",301 -> https://akamai-apigateway-stg-payment.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:c900:3a7::700, AAAA:2a02:26f0:c900:3b6::700, CNAME:akamai-apigateway-stg-payment.tesla.com.edgekey.net"
akamai-apigateway-stg-procuretopayapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-procuretopayapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-procuretopayapi.tesla.com.edgekey.net"
akamai-apigateway-stg-profileapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-profileapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-profileapi.tesla.com.edgekey.net"
akamai-apigateway-stg-shipmentplanningapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-shipmentplanningapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-shipmentplanningapi.tesla.com.edgekey.net"
akamai-apigateway-stg-teslarpsapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-teslarpsapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-teslarpsapi.tesla.com.edgekey.net"
akamai-apigateway-stg-translationpipeline.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-translationpipeline.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-translationpipeline.tesla.com.edgekey.net"
akamai-apigateway-stg-vendorpartsapi.tesla.com,cdn-akamai,"104.80.228.227, 173.223.116.49, 2a02:26f0:6d00:598::700",,"80, 443",301 -> https://akamai-apigateway-stg-vendorpartsapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:173.223.116.49, AAAA:2a02:26f0:6d00:598::700, CNAME:akamai-apigateway-stg-vendorpartsapi.tesla.com.edgekey.net"
akamai-apigateway-stg-warp3pl.tesla.com,cdn-akamai,"104.80.228.227, 173.223.116.49, 2a02:26f0:c900:3a7::700, 2a02:26f0:c900:3b6::700",,"80, 443",301 -> https://akamai-apigateway-stg-warp3pl.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:173.223.116.49, AAAA:2a02:26f0:c900:3a7::700, AAAA:2a02:26f0:c900:3b6::700, CNAME:akamai-apigateway-stg-warp3pl.tesla.com.edgekey.net"
akamai-apigateway-stg-warpassetapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-warpassetapi.tesla.com/,,N/A,,,generic detection,"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-warpassetapi.tesla.com.edgekey.net"
akamai-apigateway-stg-warpcxml.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-warpcxml.tesla.com/,,N/A,,,generic detection,"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-warpcxml.tesla.com.edgekey.net"
akamai-apigateway-stg-warpdashboardapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-warpdashboardapi.tesla.com/,,N/A,,,generic detection,"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-warpdashboardapi.tesla.com.edgekey.net"
akamai-apigateway-stg-warpedi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-warpedi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-warpedi.tesla.com.edgekey.net"
akamai-apigateway-stg-warptmsapiserver-upgrade.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-warptmsapiserver-upgrade.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-warptmsapiserver-upgrade.tesla.com.edgekey.net"
akamai-apigateway-stg-warptmsapiserver.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-warptmsapiserver.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-warptmsapiserver.tesla.com.edgekey.net"
akamai-apigateway-stg-warptqpapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg-warptqpapi.tesla.com/,,N/A,,,generic detection,"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-warptqpapi.tesla.com.edgekey.net"
akamai-apigateway-stg2-deliveryopsapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg2-deliveryopsapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg2-deliveryopsapi.tesla.com.edgekey.net"
akamai-apigateway-stg2-procuretopayapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-stg2-procuretopayapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-stg-procuretopayapi.tesla.com.edgekey.net"
akamai-apigateway-suppliers-rfq-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700",,"80, 443",301 -> https://akamai-apigateway-suppliers-rfq-stg.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, CNAME:akamai-apigateway-sdlc-apps.tesla.com.edgekey.net"
akamai-apigateway-suppliers-rfq.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-suppliers-rfq.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-prd-api-apps.tesla.com.edgekey.net"
akamai-apigateway-suppliers-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-suppliers-stg.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-chargebackapi-stage.tesla.com.edgekey.net"
akamai-apigateway-suppliers.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-suppliers.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-chargebackapi.tesla.com.edgekey.net"
akamai-apigateway-teslarpsapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-teslarpsapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-teslarpsapi.tesla.com.edgekey.net"
akamai-apigateway-teslaservice-api-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-sdlc-apps.tesla.com.edgekey.net"
akamai-apigateway-teslaservice-api.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-teslaservice-api.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-teslaservice-api.tesla.com.edgekey.net"
akamai-apigateway-translationpipeline.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-translationpipeline.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-translationpipeline.tesla.com.edgekey.net"
akamai-apigateway-uat-materials.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-uat-materials.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-uat-materials.tesla.com.edgekey.net"
akamai-apigateway-vehicleextinfogw-prdsvc-st.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:c900:3a7::700, 2a02:26f0:c900:3b6::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:c900:3a7::700, AAAA:2a02:26f0:c900:3b6::700, CNAME:akamai-apigateway-vehicleextinfogw-prdsvc-st.tesla.com.edgekey.net"
akamai-apigateway-vehicleextinfogw-prdsvc.tesla.com,cdn-akamai,"104.80.228.227, 2.17.212.94, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-vehicleextinfogw-prdsvc.tesla.com.edgekey.net"
akamai-apigateway-vendorpartsapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-vendorpartsapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-vendorpartsapi.tesla.com.edgekey.net"
akamai-apigateway-vfx-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-vfx-stg.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-vfx-stg.tesla.com.edgekey.net"
akamai-apigateway-vfx.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-vfx.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-vfx.tesla.com.edgekey.net"
akamai-apigateway-warp3pl.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-warp3pl.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-warp3pl.tesla.com.edgekey.net"
akamai-apigateway-warpassetapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-warpassetapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-warpassetapi.tesla.com.edgekey.net"
akamai-apigateway-warpcxml-dev.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-warpcxml-dev.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-sdlc-apps.tesla.com.edgekey.net"
akamai-apigateway-warpcxml-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700",,"80, 443",301 -> https://akamai-apigateway-warpcxml-stg.tesla.com/,,N/A,,,generic detection,"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, CNAME:akamai-apigateway-sdlc-apps.tesla.com.edgekey.net"
akamai-apigateway-warpcxml-uat.tesla.com,cdn-akamai,"104.80.228.227, 173.223.116.49, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-warpcxml-uat.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-sdlc-apps.tesla.com.edgekey.net"
akamai-apigateway-warpcxml.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-warpcxml.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-warpcxml.tesla.com.edgekey.net"
akamai-apigateway-warpdashboardapi.tesla.com,cdn-akamai,"104.80.228.227, 2.17.212.94, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-warpdashboardapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:2.17.212.94, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-warpdashboardapi.tesla.com.edgekey.net"
akamai-apigateway-warpedi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-warpedi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-warpedi.tesla.com.edgekey.net"
akamai-apigateway-warptmsapiserver-upgrade.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-warptmsapiserver-upgrade.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-warptmsapiserver-upgrade.tesla.com.edgekey.net"
akamai-apigateway-warptmsapiserver.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-warptmsapiserver.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-warptmsapiserver.tesla.com.edgekey.net"
akamai-apigateway-warptqpapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-warptqpapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-warptqpapi.tesla.com.edgekey.net"
akamai-apigateway-workforceapi-stg.tesla.com,cdn-akamai,"104.99.232.46, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-workforceapi-stg.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.99.232.46, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-sdlc-apps.tesla.com.edgekey.net"
akamai-apigateway-workforceapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-workforceapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-workforceapi.tesla.com.edgekey.net"
akamai-apigateway-zip3-suppliersequence.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-zip3-suppliersequence.tesla.com.edgekey.net"
ams13-gpgw1.tesla.com,,199.120.50.30,,443,404,Document Error: Not Found,N/A,,,generic detection,A:199.120.50.30
analytics-relay.tesla.com,cdn-akamai,"104.80.228.227, 2.17.212.94, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:2.17.212.94, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:external-na-pop1.edgekey.net"
apac-cppm.tesla.com,cdn-akamai,"13.215.120.114, 18.138.150.126",,,0,,N/A,,,,"A:13.215.120.114, A:18.138.150.126, CNAME:apac-cppm.tesla.com.akadns.net"
apacvpn.tesla.com,,8.244.67.215,,,0,,N/A,,,,A:8.244.67.215
apacvpn1.tesla.com,,8.244.131.215,,,0,,N/A,,,,A:8.244.131.215
apacvpn2.tesla.com,,124.158.21.195,,,0,,N/A,,cpe:/a:getbootstrap:bootstrap,,A:124.158.21.195
